,French,English
0,partie,part
1,seulement,only
2,police,police
3,pensais,thought
4,aide,help
5,genre,kind
6,laisser,let
7,car,because
8,mettre,to put
9,laisse,leash
10,eux,them
11,ville,city
12,chaque,each
13,parlé,speak
14,arrivé,come
15,devrait,should
16,bébé,baby
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,place,square
23,parle,speak
24,savais,knew
25,étaient,were
26,voici,here is
27,pourrais,could
28,donner,give
29,type,type
30,leurs,their
31,donné,given
32,train,train
33,endroit,place
34,yeux,eyes
35,façon,way
36,écoute,listen
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
41,main,hand
42,première,first
43,côté,side
44,pouvoir,power
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,vers,towards
57,minutes,minutes
58,demandé,request
59,chambre,bedroom
60,droit,law
61,aujourd'hui,today
62,cause,cause
63,enfin,finally
64,espère,hope
65,attendez,Wait
66,parti,left
67,boulot,job
68,arrêter,Stop
69,dirait,would say
70,compte,account
71,donne,given
72,fin,end
73,croire,believe
74,chérie,sweetheart
75,gros,large
76,aura,will have
77,filles,girls
78,jouer,to play
79,bureau,office
